Abbreviation/Shorthand,Meaning
T-PLL,T-Cell Prolymphocytic Leukemia
T-VASI,total body Vitiligo Area Scoring Index
T-VASI50,50% improvement in total body Vitiligo Area Scoring Index
T&A,tonsillectomy and adenoidectomy
T0,Tumor stage - Main tumor cannot be found
T1,Stage 1 tumor
T1,first thoracic spine vertebra
T1,prostate cancer nonpalpable and not identified in imaging
T10,tenth thoracic spine vertebra
T11,eleventh thoracic spine vertebra
T12,twelfth thoracic spine vertebra
T12A,Tablet ER 12 Hour Abuse-Deterrent
T1c,nonpalpable prostate cancer diagnosed by needle biopsy
T1DM,type 1 Diabetes Mellitus
T1W,T1 weighted (spin lattice relaxation time)
T2,spin-spin relaxation time
T2,time constant T2
T2,Stage 2 tumor
T2,second thoracic spine vertebra
T24A,Tablet ER 24 Hour Abuse-Deterrent
T2DM,type 2 Diabetes Mellitus
T2PK,Tablet ER 12 Hour Therapy Pack
T2W,T2 weighted (spin spin relaxation time)
T3,Triiodothyronine
T3,Stage 3 tumor
T3,third thoracic spine vertebra
T4,Thyroxine
T4,Stage 4 tumor
T4,fourth thoracic spine vertebra
T4PK,Tablet ER 24 Hour Therapy Pack
T5,fifth thoracic spine vertebra
T6,sixth thoracic spine vertebra
T7,seventh thoracic spine vertebra
T8,eighth thoracic spine vertebra
T9,ninth thoracic spine vertebra
TA,tibialis anterior
TA,transverse abdominus
TAAA,Thoracoabdominal Aortic Aneurysm
TABA,Tablet Abuse-Deterrent
TABS,tablet
TAC1,Tachykinin Precursor 1
TACC3,transforming acidic coiled coil-containing protein 3
TACE,transarterial chemoembolization 
TAH,total abdominal hysterectomy
TAHBSO,Total Abdominal Hysterectomy and Bilateral Salpingo-Oophorectomy
TALEN,transcription activator-like effector nuclease
TAMP,Tampon
TAV,Tidal Assist Ventilator
TAVI,transcatheter aortic valve implantation
taVNS,transcutaneous auricular vagus nerve stimulation
TAVR,transcatheter aortic valve replacement
TB,tuberculosis
TB,temporal bone
TB12,Tablet Extended Release 12 HR
TB24,Tablet Extended Release 24 HR
TB3D,Tablet Disintegrating Soluble
TB3E,Tablet Disintegrating Soluble ER
TBCR,Tablet Extended-Release
TBDD,Tablet Delayed Release Disintegrating
TBDP,Tablet Disintegrating
TBEA,Tablet Extended Release Abuse-Deterrent
TBEC,Tablet Delayed Release
TBED,Tablet Extended Release Disintegrating
TBEF,Tablet Effervescent
TBI,total body irradiation
TBI,traumatic brain injury
TBP,tributylphosphine
TBPK,Tablet Therapy Pack
TBS,tris buffered saline
TBSO,Tablet Soluble
TC,topical corticosteroid
TCA,tricyclic antidepressant
TCAD,transplant coronary artery disease
TCAR,transcarotid artery revascularization
TCC,Transitional Cell Carcinoma
TCEP,tris(2-carboxyethyl)phosphine
TCH,"Taxotere or Taxol, carboplatin, and Herceptin"
TCHP,Taxotere + Carboplatin + Herceptin + Perjeta
TCI,topical calcineurin inhibitor
TCI,target-controlled infusion
tcMEP,transcranial motor-evoked potential
TCR,T cell receptor
TCRF,temperature-controlled radiofrequency
TCS,topical corticosteroid
TCS,template consensus sequence
TCT,thinnest corneal thickness
Tdap,"tetanus, diptheria, and tetanus"
tDCS,transcranial direct current stimulation
TDF-FTC,tenofovir disoproxil fumarate-emtricitabine
TDM,therapeutic drug monitoring
TDPK,Tablet Delayed Release Therapy Pack
TDR,total disc replacement
TE,tracheoesophageal
TEAE,treatment-emergent adverse event
TED,thyroid eye disease
TEE,transesophageal echocardiogram
TEM,Effector memory T
TEM,Transanal Endoscopic Microsurgery
TEN,Toxic Epidermal Necrolysis
TENS,transcutaneous electrical nerve stimulation
TEP,tumor educated platelet
TEPK,Tablet Extended Release Therapy Pack
TERT,telomerase reverse transcriptase
TF,transoral esophagogastric fundoplication
TF,tissue factor
TFA,transfemoral amputee
TFA,transcervical fibroid ablation
TFCAS,transfemoral carotid artery stenting
TFESI,Transforaminal Epidural Steroid Injection
TFI,transfemoral intervention
TFNE,transient focal neurological episode
TfR2,transferrin receptor 2
TG,topographic genotyping
TG,triglycerides
TG,trigeminal ganglion
TGEV,transmissible gastroenteritis virus
TGF,transforming growth factor
TGF-β,transforming growth factor beta
TGF-β2,transforming growth factor- β2
TGFBR1,transforming growth factor-beta (TGF-β) receptor type 1
TGFβ3,transforming growth factor β3
TGI,tracheal gas insufflation
Th2,T helper-2
THA,total hip arthroplasty
THBO,Total Hysterectomy and Bilateral Oophorectomy
THC,tetrahydrocannabinol
THPK,Therapy Pack
THR,total hip replacement
ThuLEP,thulium laser enucleation of the prostate
TI,terminal ileum
TI,terminal ileitis
TIA,transient ischemic attack
TIBC,total iron-binding capacity
TID,three times per day
TIF,transoral incisionless fundoplication
TIMI,thrombolysis in myocardial infarction
TIMP,tissue inhibitors of MMP
TINC,Tincture
TIPS,transjugular intrahepatic portosystemic shunt
TIV,tumor in vein
TIVA,total intravanous anesthesia
TJKI,topical Janus kinase inhibitor
TKA,total knee arthroplasty
TKI,Tyrosine Kinase Inhibitor
TKO,to keep open
TKR,total knee replacement
TKV,total kidney volume
TLH,total laparoscopic hysterectomy
TLIF,Transforaminal Lumbar Interbody Fusion
TLR,target lesion revascularization
TLR,Toll‐like receptors
TLSO,thoracic-lumbar-sacral orthotic
TM,tape measure
TM,transformed migraine
TM,tectorial membrane
TM,tympanic membrane (eardrum)
TM,temporalis muscle
TMA,transmetatarsal amputation
tMax,temperature maximum
TMB,tumor mutational burden
TMD,temporomandibular disorder
TMEM43,transmembrane protein 43
TMJ,temporomandibular joint
TMN,tuberomammillary nucleus
TMP-SMX,trimethoprim-sulfamethoxazole
TMR,Transmyocardial Revascularization
TMS,transcranial magnetic stimulation
TMZ,temozolomide
TN,trigeminal neuralgia
TN,true negative
TNAP,tissue-nonspecific alkaline phosphatase
TNB,trigeminal nerve block
TNE,transnasal esophagoscopy
TNF,tumor necrosis factor
TNF-α,tumor necrosis factor alpha
TNFi,tumor necrosis factor inhibitor
TNM,Tumor-Node-Metastasis
TNSALP,tissue non-specific alkaline phosphatase
TNTC,too numerous to count
TOA,tubo-ovarian abscess
TOF,tetralogy of fallot
TONIC,treatment of nonalcoholic fatty liver disease in children
TOPO,topotecan
TORCH,"Toxoplasmosis, Other (syphilis, varicella-zoster, parvovirus B19), Rubella, Cytomegalovirus (CMV), and Herpes"
TORe,transoral outlet reduction
TP,Traumatic Pneumothorax
TP,total protein
TP,true positive
TPA,thyroid peroxidase antibody
tPA,tissue plasminogen activator
TPA,total parenteral alimentation
TPE,therapeutic plasma exchange
TPI,trigger point injection
TPN,Total Parenteral Nutrition
TPO,thyroid peroxidase
TPO,thrombopoietin
TPO-RA,thrombopoietin receptor agonist
TPPK,Tablet Disintegrating Therapy Pack
TPR,"temperature, pulse, respiration"
TPS,treatment planning system
tPSA,total prostate specific antigen
TPT,topotecan
TR,transradial
TR,tricuspid regurgitation
TRALI,transfusion-related acute lung injury
TRAPS,tumor necrosis factor receptor-associated periodic syndrome 
TRB,T-cell receptor beta
TRD,treatment-resistant depression
TRD,tongue retaining device
Treg,regulatory T cell
TRESK,TWIK-related spinal cord potassium channel
TRG,T-cell receptor gamma
TRI,trans-radial intervention
TRM,resident memory T
TRM,tissue-resident memory
TROC,Troche
TRP,treatment-related pneumonitis
TRP,transient receptor potential
TRS,transcription regulatory sequence
TRUS,Transrectal Ultrasound
TS,Turner Syndrome
TSB,total serum bilirubin
TSH,thyroid stimulating hormone
TSP,tropical spastic paraparesis 
TSS,therapeutic staff support
TSS-NS,therapeutic staff support non-school
TSS-S,therapeutic staff support in school
tSSS,transformed Symptom Severity Score
TTB,total toxicity burden
TTE,Transthoracic Echocardiogram
TTF,tumor treating fields
TTF1,thyroid transcription factor 1
TTLP,time to liver progression
TTP,time to tumor progression
TTP,tender to palpitation
TTP,Thrombotic Thrombocytopenic Purpura
TTP,tissue tolerable plasmas
TTS,temporary threshold shift
TTS,through-the-scope
TTVr,transcatheter tricuspid valve repair
TUG,Timed Up and Go
TUIP,Transurethral Incision of the Prostate
TUMT,Transurethral Microwave Therapy
TUNA,Transurethral Needle Ablation
TURBT,Transurethral Resection of Bladder Tumor
TURP,transurethral resection of prostate gland
TUVP,Transurethral Vaporization of the Prostate
TVC,true vocal cord
TVF,target vessel failure
TVH,Total Vaginal Hysterectomy
TViV,transcatheter valve‐in‐valve implantation
TVP,transvenous pacemaker
TVR,Tricuspid Valve Replacement
TVTO,tension free vaginal taping obturator
TVUS,Transvaginal Ultrasound
TVV,Tricuspid Valve Valvuloplasty
TWI,T-wave inversion
TWOC,trial without a catheter
TX,Tumor stage - Main tumor cannot be measured
Tx,treatment
TXA,tranexamic acid
TZD,Thiazolidinediones
I-IBTR,invase ipsilateral breast tumor recurrence
i-TIMI,initial-thrombolysis in myocardial infarction
I:T ratio,Immature to Total Neutrophil Ratio
I&D,incision and drainage
I&D,irrigation and debridement
I&O,intake and output
IA,imidazole acetaldehyde
IA,intra-articular
IAA,Iliac Artery Aneurysm
IAA,imidazole acetic acid
IAA,interrupted aortic arch
IAAR,imidazole acetic acid riboside
IABP,intra-aortic balloon pump
IAC,intra-articular corticosteroids
IAC,Internal Auditory Canal
IACS,intra-articular corticosteroid
IAD,incontinence-associated dermatitis
IADL,instrumental activities of daily living
IAH,Intra-abdominal Hypertension
IAHA,intra-articular hyaluronic acid
IAP,intra-abdominal pressure
IAPN,intra-ampullary papillary-tubular neoplasm
IAT,intra-arterial thrombolysis
IBC,invasive breast cancer
IBD,identity by descent
IBD,inflammatory bowel disease
IBE,ipsilateral breast event
IBM,inclusion body myositis
IBS,irritable bowel syndrome
IBS,constipation-predominant irritable bowel syndrome
IBS-C,irritable bowel syndrome with constipation
IBS-D,Irritable Bowel Syndrome with Diarrhea
IBTR,ipsilateral breast tumor recurrence
IBW,ideal body weight
IC,interstitial cystitis
IC,ileocecal
IC,immune complex
ICA,invasive coronary angiography
ICA,internal carotid artery
ICAM-1,Intercellular Adhesion Molecule 1
ICAR,Infection Control Assessment and Response
ICAR,interventional cardiac admission and recovery
ICC,intraclass correlation coefficient
ICC,immunocytochemistry
ICCA,infantile convulsions and choreoarthetosis
ICD,implantable cardioverter defibrillator
ICD,International Classification of Diseases
ICF,intermediate care facility
ICF,intracellular fluid
ICG,indocyanine green
ICH,Intracerebral Hemorrhage
ICH,intracranial hemorrhage
ICH,intracranial hypertension
ICL,interstrand crosslinks
ICM,ischemic cardiomyopathy
ICMS,intensive case management service
ICP,infection prevention and control
ICP,intracranial pressure
ICPP,idiopathic central precocious puberty
ICR,insulin-to-carbohydrate ratio
ICR,interventional cardiology review
ICS,inhaled corticosteroids
ICS,International Continence Society
ICSD,International Classification of Sleep Disorders
ICSI,intracytoplasmic sperm injection
ICU,intensive care unit
ICV,ileocecal valve
ID,intradermal injection
ID,interface dermatitis
ID,integral dose
ID,infectious disease(s)
IDA,iron deficiency anemia
IDC,Invasive Ductal Carcinoma
IDDM,insulin-dependent diabetes mellitus
IDDS,intrathecal drug delivery system
IDE,Investigational Device Exemption
IDEEL,Impact of Dry Eye on Everyday Life
IDH,isocitrate dehydrogenase
IDH1,isocitrate dehydrogenase 1
IDH2,isocitrate dehydrogenase 2
IDH2R172K,isocitrate dehydrogenase 2 arginine 172
IDP,intrinsically disordered protein
IDSA,Infectious Diseases Society of America
IDT,Interdisciplinary Team
IDU,intravenous drug use
IED,intermittent explosive disorder
IEP,Individualized Education Program
IF-ANA,immunofluoresent antinuclear antibody
IFA,immunofluorescent assay
IFC,interferential current
IFIS,Intraoperative Floppy Iris Syndrome
IFITM,interferon-induced transmembrane
IFN,interferon
IFN-γ,interferon gamma
IFS,Internal Family Systems
IFSO,International Federation for the Surgery of Obesity and Metabolic Disorders
IFU,Instructions For Use
IFX,infliximab
Ig,immunoglobulin
IgA,Immunoglobulin A
IGA,Investigator's Global Assessment
IgAN,IgA nephropathy
IgD,immunoglobulin D
IgE,immunoglobulin E
IGF-1,insulin-like growth factor 1
IGF-2,insulin-like growth factor 2
IGF-IR,insulin-like growth factor I receptor
IGFBP3,insulin-like growth factor binding protein 3
IgG,immunoglobulin G
IgG1,immunoglobulin G subclass 1
IgG2,immunoglobulin G subclass 2
IgG3,immunoglobulin G subclass 3
IgG4,immunoglobulin G subclass 4
IGHD,isolated ggrowth hormone deficiency
IgM,immunoglobulin M
IGR-SRS,image-guided robotic stereotactic radiosurgery
IGR-SRS,image-guided robotic stereotactic radiosurgery 
IGRA,interferon-gamma release assay
IGRT,image guided radiation therapy
IH,idiopathic hypersomnia
IH,Inguinal Hernia
IHA,intravesical hyaluronic acid
IHA,insoluble hyaluronic acid
IHC,immunohistochemistry
IHC,inner hair cell
IHF,intrahepatic fat
IHSS,idiopathic hypertrophic subaortic stenosis 
IHSS,Idiopathic Hypersomnia Severity Scale
IIA,Internal Iliac Artery
IIH,idiopathic intracranial hypertension
IJ,Internal Jugular
IKDC,International Knee Documentation Committee
IL,intralesional
IL-13,Interleukin 13
IL-15,Interleukin 15
IL-15R,Interleukin 15 receptor
IL-17,Interleukin-17
IL-2,Interleukin 2
IL-21,Interleukin 21
IL-4,Interleukin 4
IL-4,Interleukin 4
IL-4Ra,interleukin 4 receptor
IL-5,Interleukin 5
IL-7,Interleukin 7
IL-9,Interleukin 9
ILD,interstitial lung disease
ILESI,interlaminar epidural steroid injections
ILI,influenza-like illness
ILK,intralesional Kenalog
ILR,implantable loop recorder
ILST,independent living skills and training services
IM,intramuscular
IMA,inferior mesenteric artery
IMA,Internal Mammary Artery
IMA,ischemia-modified albumin
IMFN,inframammary fold to nipple distance
IMH,Intramural Haematoma
IMM,immunomodulator
IMN,internal mammary node
IMPL,Implant
IMPT,Intensity-Modulated Proton Beam Therapy
IMRT,intensity-modulated radiation therapy
IMS,Intra‐Metatarsal Space
IMU,inertial motion unit
IN,intranasal
indel,insertion-deletion
InflAAA,Inflammatory Abdominal Aortic Aneurysm
INH,Isoniazid
INHA,Inhaler
INJ,Injectable
iNKT,invariant natural killer T
INO,Internuclear Ophthalmoplegia
INPH,idiopathic normal pressure hydrocephalus
INR,international normalized ratio
INST,insert
IOC,Intraoperative Cholangiogram
IOL,Intraocular Lens
IOM,intraoperative monitoring
ION,infraorbital nerve
IONM,Intraoperative Neurophysiological Monitoring
IOP,Intensive Outpatient Program
IOP,intraocular pressure
IORT,intraoperative radiation therapy
IP,Iatrogenic Pneumothorax
IP,iliopsoas muscles
IP,interphalangeal
IP,interference potential
IPA,isopropyl alcohol
IPAA,ileal pouch-anal anastomosis
IPAH,idiopathic pulmonary arterial hypertension
IPC,inner pillar cell
IPC,intermittent pneumatic compression
IPE,icosapent ethyl
IPF,idiopathic pulmonary fibrosis
IPG,implanted pulse generator
IPJ,Intra‐Phalangeal Joint
IPL,intense pulsed light
IPM,interventional pain management 
IPMN,intraductal papillary mucinous neoplasm
IPPB,intermittent positive pressure breathing
iPSA,intact prostate specific antigen
iPSC,induced pluripotent stem cell
IPSET-Thrombosis,International Prognostic Score of Thrombosis for ET
IPSS,International Prostate Symptom Score
IQR,interquartile range
IR,immediate release
IR,implantation rate
IR,internal rotation
IR,interventional radiology
IRB,institutional review board
IRBBB,incomplete right bundle branch block
IRF,inpatient rehabilitation facility
IRMA,immunoradiometric assay
IRP,Integrated Relaxation Pressure
IS,infarct size
IS,insulin sensitivity
ISASS,International Society for the Advancement of Spine Surgery
ISC,Inpatient & Surgical Care guidelines
ISF,Insulin Sensitivity Factor
ISG,interferon-stimulated gene
ISIB,intrasphincteric injection of Botox
ISR,in-stent restenosis
ISRT,involved site radiation therapy
ISS,idiopathic short stature
ISS,Interspinous Spacer
ISS,itch severity score
ISSNHL,idiopathic sudden sensorineural hearing loss
IT,iliotibial
IT,intrathecal
IT,intratympanic
IT,time from symptom onset to coronary intervention
IT,intentional trauma
ITB,iliotibial band
ITB,intrathecal baclofen
ITI,Inner to Inner
ITP,idiopathic thrombocytopenic purpura
ITP,immune thrombocytopenia
ITP,immune thrombocytopenic purpura
ITP,immune-mediated thrombocytopenia
ITP,intrathecal pump
ITR,Inferior Turbinate Reduction
ITT,Intent-to-Treat
ITT,intrathecal therapy
ITU,intensive therapy unit
IU,international units
IUD,intrauterine device
IUGR,intrauterine growth restriction
IUI,intrauterine insemination
IUP,intrauterine pregnancy
IUPC,intrauterine pressure catheter
IUUS,intrauterine ultrasound
IV,intravenous
IVC,inferior vena cava
IVCD,intraventricular conduction delay
IVD,intervertebral disc
IVDA,Intravenous Drug Abuse
IVDU,intravenous drug use
IVF,In Vitro Fertilization
IVF,intravenous fluids
IVH,Intravenous Hyperalimentation
IVH,iIntraventricular hemorrhage
IVIG,intravenous immunoglobulin
IVL,intravascular lithotripsy
IVL-DCB,drug-coated balloon angioplasty with adjunct intravascular lithotripsy
IVP,intravenous push
IVP,intravenous pyelogram
IVPB,intravenous piggyback
IVRO,intraoral vertical ramus osteotomy
IVT,intravenous thrombolysis
IVU,intravenous urography
IVUS,intravascular ultrasound
17p,short arm of chromosome 17
2D-RT,two-dimensional radiotherapy
2HG,2-hydroxyglutarate
2VD,two vessels disease
3D-CRT,three-dimensional conformal radiotherapy
3DCRT,three-dimensional conformal radiotherapy
3VD,three vessels diseases
5-ALA,5-aminolevulinic acid
5-ARI,5-Alpha Reductase inhibitor
5-ASA,mesalamine
5-FU,fluorouracil 5%
5-HIAA,5-hydroxyindoleacetic acid 
5-HT4,5-Hydroxytryptamine 4
5ARI,5-alpha reductase inhibitor
5HT,5-hydroxytryptamine
6-MP,mercaptopurine
6MWD,six-minute walking distance
6MWT,6 minute walk test
A-A,atlanto-axial joint
A-a gradient,alveolar-arterial gradient
A-aDO2,alveolar arterial O2 difference of each
A-F,aortofemoral
A-T,Ataxia-Telangiectasia
A/P,abdomen and pelvis
A&D,Vitamin A and D
A&E,accident and emergency
A&O,alert and oriented
A&P,auscultation and percussion
A&W,alive and well
A1ATD,alpha-1-antitrypsin deficiency
A2,aortic component of second heart sound
AA,alopecia areata
AA,amino acid
AA&O,"awake, alert, and oriented"
AAA,Abdominal Aortic Aneurysm
AACAP,American Academy of Child and Adolescent Psychiatry
AACE,American Association of Clinical Endocrinologists
AACP,American Association for Community Psychiatry 
AAD,antiarrhythmic drug
AAG,autoimmune autonomic ganglionopathy
AAGSV,anterior accessory great saphenous vein
AAK1,AP2-associated protein kinase 1
AAN,American Academy of Neurology
AAO,American Academy of Ophthalmology
AAO-HNS,American Academy of Otolaryngology-Head and Neck Surgery
AAOMS,American Association of Oral and Maxillofacial Surgeons
AAOS,American Academy of Orthopaedic Surgeons
AAP,American Academy of Pediatrics
AAROM,active assisted range of motion
AASLD,American Association for the Study of Liver Disease
AASM,American Academy of Sleep Medicine
AAST,American Association for the Surgery of Trauma
AASV,anterior accessory saphenous vein
AAT,Alpha-1-Antitrypsin
AATD,alpha-1 antitrypsin deficiency
AATS,American Association for Thoracic Surgery
AAV,adeno-associated virus
AAVrh74,AAV serotype rh74
AB,artificial breathing
AB,arterial blood
AB,alpha blocker
AB,abortion
AB,antibody
ABA,applied behavior analysis
ABAS-3,"Adaptive Behavior Assessment System, Third Edition"
ABC,Autism Behavior Checklist
ABC,"adversity, beliefs, consequences"
ABC,active breathing control
ABCA3,ATP binding cassette subfamily A member 3
Abd,abdomen
ABD,albumin-binding domain
abd gr,abdominal girth
ABG,arterial blood gas
ABG,Autogenous Bone Graft
ABH,"Ativan, Bendryl, and Haldol"
ABI,Ankle Brachial Index
ABI,autologous blood injection
ABIC,"age, serum bilirubin, international normalized ratio, and serum creatinine"
ABLA,acute blood loss anemia
ABLLS-R,"Assessment of Basic Language and Learning Skills, Revised"
ABOi-LDKT,ABO blood group-incompatible live-donor kidney transplantation
ABP,arterial blood pressure
ABPA,allergic bronchopulmonary aspergillosis
ABRT,Activity-Based Restorative Therapy
ABVD,"Adriamycin, bleomycin, vinblastine, dacarbazine"
ABx,antibiotic(s)
AC,arterial calcification
AC,Adriamycin + Cyclophosphamide
AC,antecubital
AC,acromioclavicular
AC,Adriamycin + Cytoxan
AC,alcoholic cirrhosis
AC,assist control
AC,adrenal cortex
AC,axiocervical
ac,before meals (ante cibum)
AC,anticoagulation
ACA,anterior cerebral artery
ACC,American College of Cardiology
ACC,agenesis of the corpus callosum
ACCP,American College of Chest Physicians
ACD,attention concentration deficit
ACD,Anterior Cervical Discectomy
ACDF,Anterior Cervical Decompression & Fusion
ACE,American College of Endocrinology
ACE,Angiotensin Converting Enzyme
ACE-I,Angiotensin Converting Enzyme Inhibitor
ACE2,angiotensin-converting enzyme 2
ACG,American College of Gastroenterology
aCGH,array comparative genomic hybridization
ACI,Autologous Cartilage Implantation
ACID,activation induced cell death
ACL,anterior cruciate ligament
ACLR,anterior cruciate ligament reconstruction
ACLS,advanced cardiac life support
ACM,arrhythmogenic cardiomyopathy
ACM,Arnold-Chiari Malformation
ACO,accountable care organization
ACOG,American College of Obstetricians and Gynecologists
ACP,American College of Physicians
ACR,American College of Radiology
ACR,Anterior Column Realignment
ACR,albumin to creatinine ratio
ACS,American Cancer Society
ACS,NYC Administration for Children’s Services
ACS,Abdominal Compartment Syndrome
ACS,acute compartment syndrome
ACS,acute coronary syndrome
ACS,American College of Surgeons
ACS,abnormally contracting segments
ACT,acetaminophen
ACT,Activating Clotting Time
ACT,assertive community treatment
ACTA2,actin alpha 2
ACTH,adrenocorticotropic hormone
ACUTE,Center for Eating Disorders and Severe Malnutrition at Denver Health
ACV,assist control ventilation
ACVD,arteriosclerotic cardiovascular disease
AD,assistive device
AD,Alzheimer's disease
AD,atopic dermatitis
AD,right ear
ADA,American Diabetes Association
ADA,American Dental Association
ADA,antidrug antibody
ADA,adenosine deaminase
ADA,adalimumab
ADD,attention deficit disorder
ADE,adverse device-related event
ADH,antidiuretic hormone
ADHD,attention deficit hyperactivity disorder
ADHF,acute diastolic heart failure
ADI-R,Autism Diagnostic Interview-Revised
ADL,activities of daily living
ADO,adenosine
ADOS-2,"Autism Diagnostic Observation Schedule, Second Edition"
ADP,adenosine diphosphate
ADPKD,autosomal dominant polycystic kidney disease
ADR,adverse drug reaction
ADR,Artificial Disc Replacement
ADRB3,β3-adrenergic receptor
ADT,androgen deprivation therapy
ADT,"admission, discharge, transfer"
AdV,adenovirus
AE,adverse event
AE,acute exacerbation
AEA,Above Elbow Amputation
AECOPD,acute exacerbations of chronic obstructive pulmonary disease
AED,anti-epileptic drug
AED,automatic external defibrillator
AEPB,"Aerosol Powder, Breath Activated"
AERB,"Aerosol, Breath Activated"
AERO,aerosol
AERP,"Aerosol, Powder"
AERS,"Aerosol, Solution"
AET,alternating esotropia
AF,ancillary feature
AF,atrial fibrillation
AF,annulus fibrosus
AFAFP,Amniotic Fluid Alpha-Fetoprotein
AFB,acid fast bacillus
AFB,acid fast bacterium
AFC,antral follicle count
Afeb,afebrile
AFI,amniotic fluid index
AFIB,atrial fibrillation
AFL,atrial flutter
AFLS,Assessment of Functional Living Skills
AFM,Acute Flaccid Myelitis 
AFO,ankle foot orthosis
AFP,alpha-fetoprotein
AFS,American Foregut Society
AFT,Autologous Fat Transfer
AFV,amniotic fluid volume
AFVSS,"afebrile, vital signs stable"
AG,anion gap
AGA,American Gastroenterological Association
AGA,appropriate for gestational age
AGB,Adjustable Gastric Banding
AGC,advanced gastric cancer
AGE,acute gastroenteritis
AGE,advanced glycation end product
AH,alcoholic hepatitis
AH,abductor hallucis
AHA,American Heart Association
AHFS,American Hospital Formulary Service
AHI,apnea-hypopnea index
AHR,average heart rate
AHRE,atrial high-rate episodes
AHRQ,Agency for Healthcare Research and Quality
AI,acne inversa
AI,aortic insufficiency
AI,apnea index
AI,aromatase inhibitor
AIBV,Avian Infectious Bronchitis Virus
AICD,automatic implantable cardioverter defibrillator
AIDP,Acute Inflammatory Demyelinating Polyneuropathy
AIDS,acquired immune deficiency syndrome
AIED,Autoimmune Inner Ear Disease
AIHA,auto-immune haemolytic anaemia
AIIRD,autoimmune inflammatory rheumatic disease
AIR,acute inpatient rehabilitation
AIR,autoimmune retinopathy
AIRF,acute inpatient rehabilitation facility
AIRR-seq,adaptive immune receptor repertoire sequencing
AIS,acute ischemic stroke
AIS,ASIA impairment scale
AITL,angioimmunoblastic T-cell lymphoma
AIUM,American Institute of Ultrasound in Medicine
AJ,ankle jerk
AJCC,American Joint Committee on Cancer
AJKT,Auto-injector Kit
AK,actinic keratosis
AK,above knee
AK,Arcuate keratotomy
AKA,above knee amputation
AKI,acute kidney injury
AKT,protein kinase B
ALA,5-aminolevulinic acid
ALA-PDT,5-aminolevulinic acid-mediated photodynamic therapy
Alb,albumin
ALCx,left circumflex coronary artery
ALD,Assistive Listening Device
ALDH,aldehyde dehydrogenase
ALF,acute liver failure
ALF,assisted living facility
ALI,Acute Limb Ischemia
ALI,acute lung injury
ALIF,Anterior Lumbar Interbody Fusion
ALK,anaplastic lymphoma kinase
Alk phos,alkaline phosphatase
ALL,acute lymphocytic leukemia
ALL,allergies
ALND,axillary lymph node dissection
ALNT,Autologous Lymph Node Transfer
ALP,alkaline phosphatase
ALS,advanced life support
ALS,amyotrophic lateral sclerosis
ALSFRS,Amyotrophic Lateral Sclerosis Functional Rating Scale
ALSFRS-R,Revised Amyotrophic Lateral Sclerosis Functional Rating Scale
ALT,alanine aminotransferase
ALTE,Apparent Life-Threatening Event
am,ante meridiem
AMA,antimitochondrial antibody
AMA,against medical advice
AMA,advanced maternal age
AMAN,acute motor axonal neuropathy 
amb,ambulate
AMC-BAL,Amsterdam Medical Center bioartificial liver
AMD,aging macular degeneration
AME,Associazione Medici Endocrinologi
AMH,anti-mullerian hormone
AMI,acute myocardial infarction
AML,acute myelogenous leukemia
AMLS,advanced medical life support
AMML,acute myelomonocytic leukemia
AMP,Amputee Mobility Predictor
AMP,adenosine monophosphate
AMP,amphetamine
amp,ampule
AMPnoPRO,Amputee Mobility Predictor without prosthesis
AMPPRO,Amputee Mobility Predictor with prosthesis
AMS,altered mental status
AN-BP,Anorexia Nervosa-Binge-Purge Subtype
AN-R,Anorexia Nervosa-Restrictive Subtype
ANA,antinuclear antibody
anast,anastomosis
ANC,absolute neutrophil count
ANED,alive no evidence of disease
ANF,atrial natriuretic factor
ANOVA,analysis of variance
ANP,atrial natriuretic peptide
ant,anterior
Ao,aorta
AOB,Aortic Occlusion Balloon
AOB,assignment of benefits
AOCD,Anemia of Chronic Disease
AOD,atlanto-occipital dislocation
AODM,adult-onset diabetes mellitus
AOM,Acute Otitis Media
AOT,Assisted Outpatient Treatment
AP,abdomen/pelvis
AP,attending physician
AP,anteroposterior
AP-MS,affinity-purification mass spectrometry
APA,American Psychiatric Association
APAAP,alkaline phosphatase monoclonal anti-alkaline phosphatase
APAP,autotitrating positive airway pressure
APAP,acetaminophen
APB,abductor pollicis brevis
aPC,activated protein C
APC,antigen presenting cell
APC,adenomatous polyposis coli
APC,atrial premature contraction
aPC-R,activated protein C resistance
APCD,advanced pneumatic compression device
APD,Automated Peritoneal Dialysis
APD,Auditory Processing Disorder
APHE,arterial phase hyperenhancement
APL,abductor pollicis longus
APR,Abdominal Perineal Resection
APRI,aspartate aminotransferase to platelet ratio index
APROM,active/passing range of motion
APRV,airway pressure release ventilation
APS,antiphospholipid syndrome
aPTT,activated partial thromboplastin
AQ,aquapheresis
AQLQ,Asthma Quality of Life Questionnaire
AQP4,Aquaporin 4 Protein
AR,androgen receptor
AR,Allergic Rhinitis
AR,aortic regurgitation
ARA,antiretinal antibody
ARA,accessory renal arteries
ARA,arachidonic acid
ARAG,autosomal recessive agammaglobulinemia
ARB,angiotensin II receptor blocker
ARCA,autosomal-recessive cerebellar ataxia
ARDS,acute respiratory distress syndrome
ARF,acute renal failure
ARF,acute rheumatic fever
ARFID,Avoidant Restrictive Food Intake Disorder
ARM,anorectal malformation
ARMD,age-related macular degeneration
AROM,active range of motion
